"Squirrel Census data collected by a team of dedicated volunteer Squirrel Surveyors, under directions from the Dept. of Data - NYC.",,,,,,,,,,,,
The Squirrel Census covered 24 parks in New York City.,,,,,,,,,,,,
Data was collected over a 1 year period; March 2020 to Febuary 2021.,,,,,,,,,,,,
,,,,,,,,,,,,
Area,Park name,Park ID,Date,Squirrel ID,Squirrel count,Fur colour,Location,Activities; Interactions with Humans,Other Notes or Observations,Latitude,Longitude,Acres
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-04,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804915,-73.943737,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-05,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804916,-73.943735,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-06,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804914,-73.943736,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-07,1,Gray,Above Ground,Climbing; Indifferent to humans,HAWK. HAAAAAWK. All in 1 tree.,40.804917,-73.943737,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-08,1,Black; Black,Above Ground,Climbing,Defending the tree from the HAAAAWK. The bravest.,40.804912,-73.943738,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-09,1,Gray,"Above Ground, Specific Location: small trees","Chasing, Climbing, Eating; Indifferent to humans","2 were chasing each other through some short trees, others just sat",40.804701,-73.944118,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-10,1,Gray,"Above Ground, Specific Location: small trees","Chasing, Climbing, Eating; Indifferent to humans","2 were chasing each other through some short trees, others just sat",40.804746,-73.94374,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-11,1,Gray,"Above Ground, Specific Location: small trees","Chasing, Climbing, Eating; Indifferent to humans","2 were chasing each other through some short trees, others just sat",40.804912,-73.94408,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-12,1,Gray,"Above Ground, Specific Location: small trees","Chasing, Climbing, Eating; Indifferent to humans","2 were chasing each other through some short trees, others just sat",40.804729,-73.944053,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-13,1,Gray,Above Ground,Climbing,"Slid down a signpost while spinning. Other squirrels flung leaves at it, cheering.",40.804713,-73.944032,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-14,1,Gray,Above Ground,"Climbing, Eating;",Too far to observe human interactions,40.804613,-73.943829,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-15,1,Gray,Above Ground,"Climbing, Eating;",Too far to observe human interactions,40.804564,-73.943824,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-16,1,Gray,On ground,Running,Ran up the the 3rd baseline of a Little League field. Wrong way!,40.804253,-73.944121,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-17,1,Gray,On ground,Running,Scampered across path,40.803758,-73.94433,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-18,1,Gray,Above Ground,"Sitting, shouting; Indifferent to humans",,40.803616,-73.944464,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-19,1,Gray,Above Ground,"Sitting, shouting; Indifferent to humans",,40.803413,-73.944207,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-20,1,Gray,Above Ground,"Sitting, shouting; Indifferent to humans",,40.80338,-73.944148,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-21,1,Gray,Above Ground,"Sitting, shouting; Indifferent to humans",,40.803392,-73.944228,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-22,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803794,-73.944003,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-23,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803795,-73.944003,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-24,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803794,-73.944004,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-25,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803794,-73.944005,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-26,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803796,-73.944003,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-27,1,Gray,Above Ground,"Defending tree, shouting; Indifferent to humans, Preoccupied by HAAWK",HAWK. Same scene as 1Ù?•Ó•Ï8. All gray.,40.803795,-73.944004,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-28,1,Gray,Above Ground,Eating; Indifferent to humans,,40.80362,-73.944067,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-29,1,Gray,Above Ground,"Chasing, Climbing; Runs from humans",,40.80352,-73.943629,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-30,1,Gray,Above Ground,"Chasing, Climbing; Runs from humans",,40.803507,-73.943661,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-31,1,Gray,Above Ground,Climbing,,40.803981,-73.943327,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-32,1,Gray,Above Ground,Climbing,,40.804123,-73.943402,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-33,1,Black; Cinnamon,Above Ground,Cleaning,Cleaning himself like a cat would.,40.803981,-73.943273,20.165
UPPER MANHATTAN,Marcus Garvey Park,M058,13/06/2020,M058-34,1,Gray,Above Ground,Climbing; Runs from humans,,40.804878,-73.942781,20.165
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-01,1,Gray,On ground,Foraging; Indifferent to humans,Scar on forehead,40.74145,-73.987884,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-02,1,Gray,"Above Ground, Specific Location: in a tree",Sitting,,40.742255,-73.987433,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-03,1,Gray,On ground,Foraging; Indifferent to humans,,40.742556,-73.986971,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-04,1,Gray,"Above Ground, Specific Location: in a tree",Resting in tree,,40.742792,-73.987046,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-05,1,Gray,"On ground, Specific Location: Farragut Lawn",Running; Indifferent to humans,"Many pigeons lounging on lawn, tourist taking picture",40.74288,-73.987663,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-06,1,Gray,"Above Ground, Specific Location: in old tree (oval lawn)",Sitting; Indifferent to humans,#6 & #7 in same tree,40.742421,-73.98808,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-07,1,Gray,"Above Ground, Specific Location: in old tree (oval lawn)",Sitting; Indifferent to humans,"#6 & #7 in same tree - In general, visitors/people are trying to coax squirrels and take pictures. They are delighted to see squirrels.",40.742421,-73.98808,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-08,1,Gray; Cinnamon,"On ground, Specific Location: base of tree",Foraging; Indifferent to humans,Dog owners encouraging dogs to chase squirrels,40.742807,-73.988435,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-09,1,Gray,"On ground, Specific Location: base of tree",Foraging; Indifferent to humans,Ran from base of tree to lawn about 20 feet away in search of food,40.741528,-73.988324,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-10,1,Gray,"Above Ground, Specific Location: in tree","Climbing, Foraging; Indifferent to humans","First spotted in tree, then climbed down. Squirrel was small in stature.",40.741805,-73.988448,6.234
CENTRAL MANHATTAN,Madison Square Park,M052,13/06/2020,M052-11,1,Gray,"On ground, Above Ground, Specific Location: on bench","Running, Climbing, Foraging; Indifferent to humans","First seen on bench. Then jumped to ground, ran across path and onto lawn in search of food.",40.741862,-73.988797,6.234
CENTRAL MANHATTAN,Union Square Park,M089,4/07/2020,M089-01,1,Cinnamon,On ground,Climbing; Friendly,,40.735981,-73.99062,6.51
CENTRAL MANHATTAN,Union Square Park,M089,4/07/2020,M089-02,1,Gray,On ground,"Running, Eating, Foraging; Indifferent to humans",,40.735847,-73.990115,6.51
CENTRAL MANHATTAN,Union Square Park,M089,4/07/2020,M089-03,1,Cinnamon,On ground,Foraging; Indifferent to humans,,40.735896,-73.99041,6.51
